Company,Spec,Location,Content,Link
㈜컨셉터스,경력3년↑,서울 강남구,빅데이터 AI플랫폼 SW/데이터엔지니어(JAVA/Python/C++) 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/35227829?Oem_Code=C1&logpath=1
코리아뉴스와이어,경력5년↑,서울 중구,"능력있는 풀스택 ( Python, Javascript, PostgreSQL ) 웹개발자 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/35224964?Oem_Code=C1&logpath=1
㈜에이아이스페라,경력1년↑,서울 성동구,[경력] 개발팀 파이썬 개발자 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/35221175?Oem_Code=C1&logpath=1
그린컴퓨터아트학원,신입·경력,경기 수원시 외,[수원그린컴퓨터아카데미] 파이썬 빅데이터 강사(신입가능)님을 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/35210906?Oem_Code=C1&logpath=1
메가스터디아이티아카데미신촌학원,경력3년↑,서울 마포구,"[메가스터디IT아카데미] C언어,Python, JAVA 프로그래밍 강사채용",https://www.jobkorea.co.kr/Recruit/GI_Read/35203442?Oem_Code=C1&logpath=1
에이아이스튜디오,신입·경력,서울 강남구,(주)에이아이스튜디오 신입 및 경력 Python / java 서비스 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/35197785?Oem_Code=C1&logpath=1
링크소프트웨어,경력4년↑,경기 용인시 외,Python SI 기흥 삼성 프로젝트 입니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/35191121?Oem_Code=C1&logpath=1
통로이미지,경력3년↑,서울 중구,[통로이미지 IT연구소] PHP웹개발자/Python 웹 개발자 경력채용,https://www.jobkorea.co.kr/Recruit/GI_Read/35187943?Oem_Code=C1&logpath=1
㈜서울소프트,경력2년↑,서울 금천구 외,(주)서울소프트 Python 웹 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/35182437?Oem_Code=C1&logpath=1
이수정보㈜,경력10년↑,서울 중랑구 외,[여의도] OO은행 자본시장 통합시스템 구축(Python/고급),https://www.jobkorea.co.kr/Recruit/GI_Read/35175199?Oem_Code=C1&logpath=1
㈜웹프라자,신입,서울 금천구,"php, python 웹 개발자 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/35170387?Oem_Code=C1&logpath=1
㈜다모아솔루션,경력5년↑,서울 강서구,[Python/Hadoop 모집] LG유플러스 NW 빅데이터 시스템 운영,https://www.jobkorea.co.kr/Recruit/GI_Read/35167520?Oem_Code=C1&logpath=1
콘센트릭스서비스코리아 유한회사,경력3년↑,서울 강남구 외,[디지털마케팅/이커머스] 각 분야 개발자 채용(Java/Python/Back-end/Front-end/TA/AWS/Spring/JSP),https://www.jobkorea.co.kr/Recruit/GI_Read/35148382?Oem_Code=C1&logpath=1
"주식회사 넥스인테크놀로지(NexIn Technology Co.,Ltd",경력3년↑,서울 중구,java 및 python 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/35128575?Oem_Code=C1&logpath=1
(주)코인원,경력3년↑,서울 용산구 외,[코인원] Python 백엔드 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/35125232?Oem_Code=C1&logpath=1
조이테크,경력2년↑,부산 동래구 외,"[프리랜서/계약직] c#, 파이썬 프로그래머(빅데이터관련) 구함.",https://www.jobkorea.co.kr/Recruit/GI_Read/35116464?Oem_Code=C1&logpath=1
디비디스커버코리아,경력무관,서울 영등포구,Python개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/35097243?Oem_Code=C1&logpath=1
㈜웹프라자,경력3년↑,서울 금천구,"php, python 웹프로그래머 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/35096646?Oem_Code=C1&logpath=1
켐아이넷㈜,경력무관,서울 양천구,"인공지능, 통계 분야 연구원 모집(R 또는 python 개발자)",https://www.jobkorea.co.kr/Recruit/GI_Read/35094779?Oem_Code=C1&logpath=1
㈜에스에프테크놀로지,경력3년↑,서울 금천구,"웹 (자바, 파이썬) 개발자 구인 (병역특례 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/35092756?Oem_Code=C1&logpath=1
㈜맥스피아,경력6년↑,서울 구로구 외,[기흥] 삼성SDI) Python 개발 - 중급이상,https://www.jobkorea.co.kr/Recruit/GI_Read/35089958?Oem_Code=C1&logpath=1
코리아센터,경력무관,서울 금천구 외,Python 웹 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/35085052?Oem_Code=C1&logpath=1
이젠아카데미컴퓨터학원,경력3년↑,경기 성남시,[이젠아카데미컴퓨터학원 분당] 파이썬 재직자과정(주말/저녁) 강사를 초빙합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/35084097?Oem_Code=C1&logpath=1
메가스터디아이티아카데미신촌학원,경력3년↑,서울 마포구 외,"[메가스터디IT아카데미] 프로그래밍, C언어, JAVA, Python 강사채용",https://www.jobkorea.co.kr/Recruit/GI_Read/35069748?Oem_Code=C1&logpath=1
㈜로딕스,신입·경력1년↑,서울 성동구 외,"[정규직]C#/Python 신입, 경력 개발자분 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/35068252?Oem_Code=C1&logpath=1
㈜유니온콘텐츠,경력무관,서울 금천구 외,"[정규직]웹개발(JAVA/node.js,python등) 개발담당 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/35065580?Oem_Code=C1&logpath=1
누리꿈소프트㈜,경력,서울 강남구 외,"[여의도] Python전처리 경험자를 구인합니다(정규,계약직)",https://www.jobkorea.co.kr/Recruit/GI_Read/35059675?Oem_Code=C1&logpath=1
이쎌㈜,경력3년↑,경기 파주시 외,"C++, Python 익숙한 개발자",https://www.jobkorea.co.kr/Recruit/GI_Read/35058740?Oem_Code=C1&logpath=1
㈜보인정보기술,신입·경력2년↑,서울 서초구,"파이썬 개발자 채용(django, flask, chatbot)",https://www.jobkorea.co.kr/Recruit/GI_Read/35057456?Oem_Code=C1&logpath=1
